service_id,date,exception_type
ATB:Timetable:1600046-2019-01-01,20190217,1
ATB:Timetable:1600046-2019-01-01,20190224,1
ATB:Timetable:1600046-2019-01-01,20190303,1
ATB:Timetable:1600046-2019-01-01,20190310,1
ATB:Timetable:1600046-2019-01-01,20190317,1
ATB:Timetable:1600046-2019-01-01,20190324,1
ATB:Timetable:1600046-2019-01-01,20190331,1
ATB:Timetable:1600046-2019-01-01,20190407,1
ATB:Timetable:1600046-2019-01-01,20190414,1
ATB:Timetable:1600046-2019-01-01,20190418,1
ATB:Timetable:1600046-2019-01-01,20190419,1
ATB:Timetable:1600046-2019-01-01,20190421,1
ATB:Timetable:1600046-2019-01-01,20190422,1
ATB:Timetable:1600046-2019-01-01,20190428,1
ATB:Timetable:1600046-2019-01-01,20190501,1
ATB:Timetable:1600046-2019-01-01,20190505,1
ATB:Timetable:1600046-2019-01-01,20190512,1
ATB:Timetable:1600046-2019-01-01,20190519,1
ATB:Timetable:1600046-2019-01-01,20190526,1
ATB:Timetable:1600046-2019-01-01,20190530,1
ATB:Timetable:1600046-2019-01-01,20190602,1
ATB:Timetable:1600046-2019-01-01,20190609,1
ATB:Timetable:1600046-2019-01-01,20190610,1
ATB:Timetable:1600046-2019-01-01,20190616,1
ATB:Timetable:1600046-2019-01-01,20190623,1
ATB:Timetable:1600050-2019-01-01,20190106,1
ATB:Timetable:1600050-2019-01-01,20190113,1
ATB:Timetable:1600050-2019-01-01,20190120,1
ATB:Timetable:1600050-2019-01-01,20190127,1
ATB:Timetable:1600050-2019-01-01,20190203,1
ATB:Timetable:1600050-2019-01-01,20190210,1
ATB:Timetable:1600050-2019-01-01,20190217,1
ATB:Timetable:1600050-2019-01-01,20190224,1
ATB:Timetable:1600050-2019-01-01,20190303,1
ATB:Timetable:1600050-2019-01-01,20190310,1
ATB:Timetable:1600050-2019-01-01,20190317,1
ATB:Timetable:1600050-2019-01-01,20190324,1
ATB:Timetable:1600050-2019-01-01,20190331,1
ATB:Timetable:1600050-2019-01-01,20190407,1
ATB:Timetable:1600050-2019-01-01,20190414,1
ATB:Timetable:1600050-2019-01-01,20190418,1
ATB:Timetable:1600050-2019-01-01,20190419,1
ATB:Timetable:1600050-2019-01-01,20190421,1
ATB:Timetable:1600050-2019-01-01,20190422,1
ATB:Timetable:1600050-2019-01-01,20190428,1
ATB:Timetable:1600050-2019-01-01,20190501,1
ATB:Timetable:1600050-2019-01-01,20190505,1
ATB:Timetable:1600050-2019-01-01,20190512,1
ATB:Timetable:1600050-2019-01-01,20190519,1
ATB:Timetable:1600050-2019-01-01,20190526,1
ATB:Timetable:1600050-2019-01-01,20190530,1
ATB:Timetable:1600050-2019-01-01,20190602,1
ATB:Timetable:1600050-2019-01-01,20190609,1
ATB:Timetable:1600050-2019-01-01,20190610,1
ATB:Timetable:1600050-2019-01-01,20190616,1
ATB:Timetable:1600050-2019-01-01,20190623,1
ATB:Timetable:1600047-2019-01-01,20190106,1
ATB:Timetable:1600047-2019-01-01,20190113,1
ATB:Timetable:1600047-2019-01-01,20190120,1
ATB:Timetable:1600047-2019-01-01,20190127,1
ATB:Timetable:1600047-2019-01-01,20190203,1
ATB:Timetable:1600047-2019-01-01,20190210,1
ATB:Timetable:1600047-2019-01-01,20190217,1
ATB:Timetable:1600047-2019-01-01,20190224,1
ATB:Timetable:1600047-2019-01-01,20190303,1
ATB:Timetable:1600047-2019-01-01,20190310,1
ATB:Timetable:1600047-2019-01-01,20190317,1
ATB:Timetable:1600047-2019-01-01,20190324,1
ATB:Timetable:1600047-2019-01-01,20190331,1
ATB:Timetable:1600047-2019-01-01,20190407,1
ATB:Timetable:1600047-2019-01-01,20190414,1
ATB:Timetable:1600047-2019-01-01,20190418,1
ATB:Timetable:1600047-2019-01-01,20190419,1
ATB:Timetable:1600047-2019-01-01,20190421,1
ATB:Timetable:1600047-2019-01-01,20190422,1
ATB:Timetable:1600047-2019-01-01,20190428,1
ATB:Timetable:1600047-2019-01-01,20190501,1
ATB:Timetable:1600047-2019-01-01,20190505,1
ATB:Timetable:1600047-2019-01-01,20190512,1
ATB:Timetable:1600047-2019-01-01,20190519,1
ATB:Timetable:1600047-2019-01-01,20190526,1
ATB:Timetable:1600047-2019-01-01,20190530,1
ATB:Timetable:1600047-2019-01-01,20190602,1
ATB:Timetable:1600047-2019-01-01,20190609,1
ATB:Timetable:1600047-2019-01-01,20190610,1
ATB:Timetable:1600047-2019-01-01,20190616,1
ATB:Timetable:1600047-2019-01-01,20190623,1
ATB:Timetable:1600057-2019-01-01,20190106,1
ATB:Timetable:1600057-2019-01-01,20190113,1
ATB:Timetable:1600057-2019-01-01,20190120,1
ATB:Timetable:1600057-2019-01-01,20190127,1
ATB:Timetable:1600057-2019-01-01,20190203,1
ATB:Timetable:1600057-2019-01-01,20190210,1
ATB:Timetable:1600057-2019-01-01,20190217,1
ATB:Timetable:1600057-2019-01-01,20190224,1
ATB:Timetable:1600057-2019-01-01,20190303,1
ATB:Timetable:1600057-2019-01-01,20190310,1
ATB:Timetable:1600057-2019-01-01,20190317,1
ATB:Timetable:1600057-2019-01-01,20190324,1
ATB:Timetable:1600057-2019-01-01,20190331,1
ATB:Timetable:1600057-2019-01-01,20190407,1
ATB:Timetable:1600057-2019-01-01,20190414,1
ATB:Timetable:1600057-2019-01-01,20190418,1
ATB:Timetable:1600057-2019-01-01,20190419,1
ATB:Timetable:1600057-2019-01-01,20190421,1
ATB:Timetable:1600057-2019-01-01,20190422,1
ATB:Timetable:1600057-2019-01-01,20190428,1
ATB:Timetable:1600057-2019-01-01,20190501,1
ATB:Timetable:1600057-2019-01-01,20190505,1
ATB:Timetable:1600057-2019-01-01,20190512,1
ATB:Timetable:1600057-2019-01-01,20190519,1
ATB:Timetable:1600057-2019-01-01,20190526,1
ATB:Timetable:1600057-2019-01-01,20190530,1
ATB:Timetable:1600057-2019-01-01,20190602,1
ATB:Timetable:1600057-2019-01-01,20190609,1
ATB:Timetable:1600057-2019-01-01,20190610,1
ATB:Timetable:1600057-2019-01-01,20190616,1
ATB:Timetable:1600057-2019-01-01,20190623,1
ATB:Timetable:1600027-2019-01-01,20190101,2
ATB:Timetable:1600027-2019-01-01,20190418,2
ATB:Timetable:1600027-2019-01-01,20190419,2
ATB:Timetable:1600027-2019-01-01,20190517,2
ATB:Timetable:1600027-2019-01-01,20190530,2
ATB:Timetable:1600030-2019-01-01,20190418,2
ATB:Timetable:1600030-2019-01-01,20190422,2
ATB:Timetable:1600030-2019-01-01,20190530,2
ATB:Timetable:1600030-2019-01-01,20190610,2
ATB:Timetable:1600024-2019-01-01,20190101,2
ATB:Timetable:1600020-2019-01-01,20190418,2
ATB:Timetable:1600020-2019-01-01,20190530,2
ATB:Timetable:1600053-2019-01-01,20190106,1
ATB:Timetable:1600053-2019-01-01,20190113,1
ATB:Timetable:1600053-2019-01-01,20190120,1
ATB:Timetable:1600053-2019-01-01,20190127,1
ATB:Timetable:1600053-2019-01-01,20190203,1
ATB:Timetable:1600053-2019-01-01,20190210,1
ATB:Timetable:1600053-2019-01-01,20190217,1
ATB:Timetable:1600053-2019-01-01,20190224,1
ATB:Timetable:1600053-2019-01-01,20190303,1
ATB:Timetable:1600053-2019-01-01,20190310,1
ATB:Timetable:1600053-2019-01-01,20190317,1
ATB:Timetable:1600053-2019-01-01,20190324,1
ATB:Timetable:1600053-2019-01-01,20190331,1
ATB:Timetable:1600053-2019-01-01,20190407,1
ATB:Timetable:1600053-2019-01-01,20190414,1
ATB:Timetable:1600053-2019-01-01,20190418,1
ATB:Timetable:1600053-2019-01-01,20190419,1
ATB:Timetable:1600053-2019-01-01,20190421,1
ATB:Timetable:1600053-2019-01-01,20190422,1
ATB:Timetable:1600053-2019-01-01,20190428,1
ATB:Timetable:1600053-2019-01-01,20190501,1
ATB:Timetable:1600053-2019-01-01,20190505,1
ATB:Timetable:1600053-2019-01-01,20190512,1
ATB:Timetable:1600053-2019-01-01,20190519,1
ATB:Timetable:1600053-2019-01-01,20190526,1
ATB:Timetable:1600053-2019-01-01,20190530,1
ATB:Timetable:1600053-2019-01-01,20190602,1
ATB:Timetable:1600053-2019-01-01,20190609,1
ATB:Timetable:1600053-2019-01-01,20190610,1
ATB:Timetable:1600053-2019-01-01,20190616,1
ATB:Timetable:1600053-2019-01-01,20190623,1
ATB:Timetable:1600037-2019-01-01,20190101,2
ATB:Timetable:1600037-2019-01-01,20190418,2
ATB:Timetable:1600037-2019-01-01,20190419,2
ATB:Timetable:1600037-2019-01-01,20190422,2
ATB:Timetable:1600037-2019-01-01,20190517,2
ATB:Timetable:1600037-2019-01-01,20190530,2
ATB:Timetable:1600037-2019-01-01,20190610,2
ATB:Timetable:1600038-2019-01-01,20190101,2
ATB:Timetable:1600038-2019-01-01,20190422,2
ATB:Timetable:1600038-2019-01-01,20190501,2
ATB:Timetable:1600038-2019-01-01,20190610,2
ATB:Timetable:1600041-2019-01-01,20190101,2
ATB:Timetable:1600041-2019-01-01,20190418,2
ATB:Timetable:1600041-2019-01-01,20190419,2
ATB:Timetable:1600041-2019-01-01,20190422,2
ATB:Timetable:1600041-2019-01-01,20190501,2
ATB:Timetable:1600041-2019-01-01,20190517,2
ATB:Timetable:1600041-2019-01-01,20190530,2
ATB:Timetable:1600041-2019-01-01,20190610,2
ATB:Timetable:1600051-2019-01-01,20190106,1
ATB:Timetable:1600051-2019-01-01,20190113,1
ATB:Timetable:1600051-2019-01-01,20190120,1
ATB:Timetable:1600051-2019-01-01,20190127,1
ATB:Timetable:1600051-2019-01-01,20190203,1
ATB:Timetable:1600051-2019-01-01,20190210,1
ATB:Timetable:1600051-2019-01-01,20190217,1
ATB:Timetable:1600051-2019-01-01,20190224,1
ATB:Timetable:1600051-2019-01-01,20190303,1
ATB:Timetable:1600051-2019-01-01,20190310,1
ATB:Timetable:1600051-2019-01-01,20190317,1
ATB:Timetable:1600051-2019-01-01,20190324,1
ATB:Timetable:1600051-2019-01-01,20190331,1
ATB:Timetable:1600051-2019-01-01,20190407,1
ATB:Timetable:1600051-2019-01-01,20190414,1
ATB:Timetable:1600051-2019-01-01,20190418,1
ATB:Timetable:1600051-2019-01-01,20190419,1
ATB:Timetable:1600051-2019-01-01,20190421,1
ATB:Timetable:1600051-2019-01-01,20190422,1
ATB:Timetable:1600051-2019-01-01,20190428,1
ATB:Timetable:1600051-2019-01-01,20190501,1
ATB:Timetable:1600051-2019-01-01,20190505,1
ATB:Timetable:1600051-2019-01-01,20190512,1
ATB:Timetable:1600051-2019-01-01,20190519,1
ATB:Timetable:1600051-2019-01-01,20190526,1
ATB:Timetable:1600051-2019-01-01,20190530,1
ATB:Timetable:1600051-2019-01-01,20190602,1
ATB:Timetable:1600051-2019-01-01,20190609,1
ATB:Timetable:1600051-2019-01-01,20190610,1
ATB:Timetable:1600051-2019-01-01,20190616,1
ATB:Timetable:1600051-2019-01-01,20190623,1
ATB:Timetable:1600048-2019-01-01,20190106,1
ATB:Timetable:1600048-2019-01-01,20190113,1
ATB:Timetable:1600048-2019-01-01,20190120,1
ATB:Timetable:1600048-2019-01-01,20190127,1
ATB:Timetable:1600048-2019-01-01,20190203,1
ATB:Timetable:1600048-2019-01-01,20190210,1
ATB:Timetable:1600048-2019-01-01,20190217,1
ATB:Timetable:1600048-2019-01-01,20190224,1
ATB:Timetable:1600048-2019-01-01,20190303,1
ATB:Timetable:1600048-2019-01-01,20190310,1
ATB:Timetable:1600048-2019-01-01,20190317,1
ATB:Timetable:1600048-2019-01-01,20190324,1
ATB:Timetable:1600048-2019-01-01,20190331,1
ATB:Timetable:1600048-2019-01-01,20190407,1
ATB:Timetable:1600048-2019-01-01,20190414,1
ATB:Timetable:1600048-2019-01-01,20190418,1
ATB:Timetable:1600048-2019-01-01,20190419,1
ATB:Timetable:1600048-2019-01-01,20190421,1
ATB:Timetable:1600048-2019-01-01,20190422,1
ATB:Timetable:1600048-2019-01-01,20190428,1
ATB:Timetable:1600048-2019-01-01,20190501,1
ATB:Timetable:1600048-2019-01-01,20190505,1
ATB:Timetable:1600048-2019-01-01,20190512,1
ATB:Timetable:1600048-2019-01-01,20190519,1
ATB:Timetable:1600048-2019-01-01,20190526,1
ATB:Timetable:1600048-2019-01-01,20190530,1
ATB:Timetable:1600048-2019-01-01,20190602,1
ATB:Timetable:1600048-2019-01-01,20190609,1
ATB:Timetable:1600048-2019-01-01,20190610,1
ATB:Timetable:1600048-2019-01-01,20190616,1
ATB:Timetable:1600048-2019-01-01,20190623,1
ATB:Timetable:1600058-2019-01-01,20190106,1
ATB:Timetable:1600058-2019-01-01,20190113,1
ATB:Timetable:1600058-2019-01-01,20190120,1
ATB:Timetable:1600058-2019-01-01,20190127,1
ATB:Timetable:1600058-2019-01-01,20190203,1
ATB:Timetable:1600058-2019-01-01,20190210,1
ATB:Timetable:1600058-2019-01-01,20190217,1
ATB:Timetable:1600058-2019-01-01,20190224,1
ATB:Timetable:1600058-2019-01-01,20190303,1
ATB:Timetable:1600058-2019-01-01,20190310,1
ATB:Timetable:1600058-2019-01-01,20190317,1
ATB:Timetable:1600058-2019-01-01,20190324,1
ATB:Timetable:1600058-2019-01-01,20190331,1
ATB:Timetable:1600058-2019-01-01,20190407,1
ATB:Timetable:1600058-2019-01-01,20190414,1
ATB:Timetable:1600058-2019-01-01,20190418,1
ATB:Timetable:1600058-2019-01-01,20190419,1
ATB:Timetable:1600058-2019-01-01,20190421,1
ATB:Timetable:1600058-2019-01-01,20190422,1
ATB:Timetable:1600058-2019-01-01,20190428,1
ATB:Timetable:1600058-2019-01-01,20190501,1
ATB:Timetable:1600058-2019-01-01,20190505,1
ATB:Timetable:1600058-2019-01-01,20190512,1
ATB:Timetable:1600058-2019-01-01,20190519,1
ATB:Timetable:1600058-2019-01-01,20190526,1
ATB:Timetable:1600058-2019-01-01,20190530,1
ATB:Timetable:1600058-2019-01-01,20190602,1
ATB:Timetable:1600058-2019-01-01,20190609,1
ATB:Timetable:1600058-2019-01-01,20190610,1
ATB:Timetable:1600058-2019-01-01,20190616,1
ATB:Timetable:1600058-2019-01-01,20190623,1
ATB:Timetable:1600018-2019-01-01,20190517,1
ATB:Timetable:1600021-2019-01-01,20190418,2
ATB:Timetable:1600021-2019-01-01,20190419,2
ATB:Timetable:1600021-2019-01-01,20190517,2
ATB:Timetable:1600021-2019-01-01,20190530,2
ATB:Timetable:1600031-2019-01-01,20190422,2
ATB:Timetable:1600031-2019-01-01,20190501,2
ATB:Timetable:1600031-2019-01-01,20190610,2
ATB:Timetable:1600028-2019-01-01,20190101,2
ATB:Timetable:1600028-2019-01-01,20190418,2
ATB:Timetable:1600028-2019-01-01,20190501,2
ATB:Timetable:1600028-2019-01-01,20190530,2
ATB:Timetable:1600025-2019-01-01,20190101,2
ATB:Timetable:1600025-2019-01-01,20190419,2
ATB:Timetable:1600025-2019-01-01,20190517,2
ATB:Timetable:1600034-2019-01-01,20190418,2
ATB:Timetable:1600034-2019-01-01,20190419,2
ATB:Timetable:1600034-2019-01-01,20190422,2
ATB:Timetable:1600034-2019-01-01,20190501,2
ATB:Timetable:1600034-2019-01-01,20190517,2
ATB:Timetable:1600034-2019-01-01,20190530,2
ATB:Timetable:1600034-2019-01-01,20190610,2
ATB:Timetable:1600054-2019-01-01,20190106,1
ATB:Timetable:1600054-2019-01-01,20190113,1
ATB:Timetable:1600054-2019-01-01,20190120,1
ATB:Timetable:1600054-2019-01-01,20190127,1
ATB:Timetable:1600054-2019-01-01,20190203,1
ATB:Timetable:1600054-2019-01-01,20190210,1
ATB:Timetable:1600054-2019-01-01,20190217,1
ATB:Timetable:1600054-2019-01-01,20190224,1
ATB:Timetable:1600054-2019-01-01,20190303,1
ATB:Timetable:1600054-2019-01-01,20190310,1
ATB:Timetable:1600054-2019-01-01,20190317,1
ATB:Timetable:1600054-2019-01-01,20190324,1
ATB:Timetable:1600054-2019-01-01,20190331,1
ATB:Timetable:1600054-2019-01-01,20190407,1
ATB:Timetable:1600054-2019-01-01,20190414,1
ATB:Timetable:1600054-2019-01-01,20190418,1
ATB:Timetable:1600054-2019-01-01,20190419,1
ATB:Timetable:1600054-2019-01-01,20190421,1
ATB:Timetable:1600054-2019-01-01,20190422,1
ATB:Timetable:1600054-2019-01-01,20190428,1
ATB:Timetable:1600054-2019-01-01,20190501,1
ATB:Timetable:1600054-2019-01-01,20190505,1
ATB:Timetable:1600054-2019-01-01,20190512,1
ATB:Timetable:1600054-2019-01-01,20190519,1
ATB:Timetable:1600054-2019-01-01,20190526,1
ATB:Timetable:1600054-2019-01-01,20190530,1
ATB:Timetable:1600054-2019-01-01,20190602,1
ATB:Timetable:1600054-2019-01-01,20190609,1
ATB:Timetable:1600054-2019-01-01,20190610,1
ATB:Timetable:1600054-2019-01-01,20190616,1
ATB:Timetable:1600054-2019-01-01,20190623,1
ATB:Timetable:1600032-2019-01-01,20190419,2
ATB:Timetable:1600032-2019-01-01,20190422,2
ATB:Timetable:1600032-2019-01-01,20190501,2
ATB:Timetable:1600032-2019-01-01,20190517,2
ATB:Timetable:1600032-2019-01-01,20190610,2
ATB:Timetable:1600029-2019-01-01,20190101,2
ATB:Timetable:1600029-2019-01-01,20190418,2
ATB:Timetable:1600029-2019-01-01,20190419,2
ATB:Timetable:1600029-2019-01-01,20190501,2
ATB:Timetable:1600029-2019-01-01,20190517,2
ATB:Timetable:1600029-2019-01-01,20190530,2
ATB:Timetable:1600055-2019-01-01,20190106,1
ATB:Timetable:1600055-2019-01-01,20190113,1
ATB:Timetable:1600055-2019-01-01,20190120,1
ATB:Timetable:1600055-2019-01-01,20190127,1
ATB:Timetable:1600055-2019-01-01,20190203,1
ATB:Timetable:1600055-2019-01-01,20190210,1
ATB:Timetable:1600055-2019-01-01,20190217,1
ATB:Timetable:1600055-2019-01-01,20190224,1
ATB:Timetable:1600055-2019-01-01,20190303,1
ATB:Timetable:1600055-2019-01-01,20190310,1
ATB:Timetable:1600055-2019-01-01,20190317,1
ATB:Timetable:1600055-2019-01-01,20190324,1
ATB:Timetable:1600055-2019-01-01,20190331,1
ATB:Timetable:1600055-2019-01-01,20190407,1
ATB:Timetable:1600055-2019-01-01,20190414,1
ATB:Timetable:1600055-2019-01-01,20190418,1
ATB:Timetable:1600055-2019-01-01,20190419,1
ATB:Timetable:1600055-2019-01-01,20190421,1
ATB:Timetable:1600055-2019-01-01,20190422,1
ATB:Timetable:1600055-2019-01-01,20190428,1
ATB:Timetable:1600055-2019-01-01,20190501,1
ATB:Timetable:1600055-2019-01-01,20190505,1
ATB:Timetable:1600055-2019-01-01,20190512,1
ATB:Timetable:1600055-2019-01-01,20190519,1
ATB:Timetable:1600055-2019-01-01,20190526,1
ATB:Timetable:1600055-2019-01-01,20190530,1
ATB:Timetable:1600055-2019-01-01,20190602,1
ATB:Timetable:1600055-2019-01-01,20190609,1
ATB:Timetable:1600055-2019-01-01,20190610,1
ATB:Timetable:1600055-2019-01-01,20190616,1
ATB:Timetable:1600055-2019-01-01,20190623,1
ATB:Timetable:1600019-2019-01-01,20190419,2
ATB:Timetable:1600019-2019-01-01,20190517,2
ATB:Timetable:1600022-2019-01-01,20190501,2
ATB:Timetable:1600049-2019-01-01,20190106,1
ATB:Timetable:1600049-2019-01-01,20190113,1
ATB:Timetable:1600049-2019-01-01,20190120,1
ATB:Timetable:1600049-2019-01-01,20190127,1
ATB:Timetable:1600049-2019-01-01,20190203,1
ATB:Timetable:1600049-2019-01-01,20190210,1
ATB:Timetable:1600049-2019-01-01,20190217,1
ATB:Timetable:1600049-2019-01-01,20190224,1
ATB:Timetable:1600049-2019-01-01,20190303,1
ATB:Timetable:1600049-2019-01-01,20190310,1
ATB:Timetable:1600049-2019-01-01,20190317,1
ATB:Timetable:1600049-2019-01-01,20190324,1
ATB:Timetable:1600049-2019-01-01,20190331,1
ATB:Timetable:1600049-2019-01-01,20190407,1
ATB:Timetable:1600049-2019-01-01,20190414,1
ATB:Timetable:1600049-2019-01-01,20190418,1
ATB:Timetable:1600049-2019-01-01,20190419,1
ATB:Timetable:1600049-2019-01-01,20190421,1
ATB:Timetable:1600049-2019-01-01,20190422,1
ATB:Timetable:1600049-2019-01-01,20190428,1
ATB:Timetable:1600049-2019-01-01,20190501,1
ATB:Timetable:1600049-2019-01-01,20190505,1
ATB:Timetable:1600049-2019-01-01,20190512,1
ATB:Timetable:1600049-2019-01-01,20190519,1
ATB:Timetable:1600049-2019-01-01,20190526,1
ATB:Timetable:1600049-2019-01-01,20190530,1
ATB:Timetable:1600049-2019-01-01,20190602,1
ATB:Timetable:1600049-2019-01-01,20190609,1
ATB:Timetable:1600049-2019-01-01,20190610,1
ATB:Timetable:1600049-2019-01-01,20190616,1
ATB:Timetable:1600049-2019-01-01,20190623,1
ATB:Timetable:1600039-2019-01-01,20190101,2
ATB:Timetable:1600039-2019-01-01,20190419,2
ATB:Timetable:1600039-2019-01-01,20190422,2
ATB:Timetable:1600039-2019-01-01,20190501,2
ATB:Timetable:1600039-2019-01-01,20190517,2
ATB:Timetable:1600039-2019-01-01,20190610,2
